proc,label,mean,median,p95,n
draft,draft_glue_replay,1.594,1.603,1.614,7495
draft,draft_recv_cmd,0.281,0.047,0.052,7497
draft,draft_send_response,0.162,0.173,0.19,7495
draft,glue,2.455,2.46,2.495,7495
draft,hit_cache_respond,1.685,0.609,9.51,7495
draft,merge_cache,0.061,0.06,0.062,7495
draft,phase1_build,0.159,0.161,0.171,7495
draft,phase1_prep,0.38,0.127,1.414,37495
draft,phase1_replay,3.412,3.48,3.593,37495
draft,phase2_build,1.395,1.384,1.617,7495
draft,phase2_prep,0.363,0.108,1.406,37495
draft,phase2_replay,3.45,3.503,3.654,37495
draft,proxy_wait,7.202,7.118,8.926,7495
target,exit_logits,1.472,1.46,1.622,7495
target,final_logits,0.338,0.338,0.346,7495
target,graph_post,11.324,11.33,11.387,7495
target,graph_pre,25.477,25.477,25.728,7495
target,proxy_compute_send,1.725,1.439,3.014,7495
target,target_postprocess,0.041,0.039,0.056,7495
target,target_spec_wait,8.436,7.479,16.166,7495
target,verify_sample_accept,3.317,3.25,4.163,7495
target,verify_setup,0.262,0.246,0.342,7495
