proc,label,mean_ms,mult_per_step,ms_per_step
draft,phase2_replay,3.450158705064687,4,13.800634820258749
draft,phase1_replay,3.411663982991871,4,13.646655931967484
draft,proxy_wait,7.201632695837447,1,7.201632695837447
draft,glue,2.4553797168998894,1,2.4553797168998894
draft,hit_cache_respond,1.6848340199501057,1,1.6848340199501057
draft,draft_glue_replay,1.593737351425176,1,1.593737351425176
draft,phase2_build,1.3954253969866883,1,1.3954253969866883
draft,phase1_prep,0.37950780981281534,1,0.37950780981281534
draft,phase2_prep,0.3631138410283607,1,0.3631138410283607
draft,draft_recv_cmd,0.28138277561468283,1,0.28138277561468283
draft,draft_send_response,0.1616112806931824,1,0.1616112806931824
draft,phase1_build,0.15875620579743402,1,0.15875620579743402
draft,merge_cache,0.060671351603005554,1,0.060671351603005554
target,graph_pre,25.476903992513563,1,25.476903992513563
target,graph_post,11.323593639070944,1,11.323593639070944
target,target_spec_wait,8.435877666956905,1,8.435877666956905
target,verify_sample_accept,3.317412877639506,1,3.317412877639506
target,proxy_compute_send,1.724746972012313,1,1.724746972012313
target,exit_logits,1.4722382300690542,1,1.4722382300690542
target,final_logits,0.33830691934665735,1,0.33830691934665735
target,verify_setup,0.2615025912526451,1,0.2615025912526451
target,target_postprocess,0.04116359599272636,1,0.04116359599272636
