proc,label,mean,median,p95,n
draft,draft_glue_replay,1.618,1.623,1.637,12508
draft,draft_recv_cmd,15.852,15.736,17.955,12510
draft,draft_send_response,0.151,0.186,0.202,12508
draft,glue,2.076,2.076,2.105,12508
draft,hit_cache_respond,4.71,0.651,13.216,12508
draft,tree_prep,0.365,0.112,1.836,87586
draft,tree_replay,3.559,3.638,3.666,87586
target,target_postprocess,0.069,0.048,0.164,12508
target,target_spec_wait,6.022,2.011,14.366,12508
target,verify_replay,40.002,39.864,41.031,12508
target,verify_sample_accept,4.776,4.827,6.137,12508
