proc,label,mean,median,p95,n
draft,draft_glue_replay,1.608,1.619,1.627,7041
draft,draft_recv_cmd,1.74,1.553,3.39,7043
draft,draft_send_response,0.156,0.181,0.199,7041
draft,glue,2.054,2.061,2.082,7041
draft,hit_cache_respond,3.663,0.617,13.145,7041
draft,tree_prep,0.363,0.111,1.815,49317
draft,tree_replay,5.391,5.464,5.481,49317
target,target_postprocess,0.049,0.046,0.069,7041
target,target_spec_wait,4.984,1.905,14.25,7041
target,verify_replay,39.721,39.595,40.57,7041
target,verify_sample_accept,4.362,4.305,5.75,7041
