status,n,draft_recv_cmd_mean_ms,draft_recv_cmd_median_ms,glue_mean_ms,glue_median_ms,draft_glue_replay_mean_ms,draft_glue_replay_median_ms,phase1_build_mean_ms,phase1_build_median_ms,phase1_prep_mean_ms,phase1_prep_median_ms,phase1_replay_mean_ms,phase1_replay_median_ms,proxy_wait_mean_ms,proxy_wait_median_ms,phase2_build_mean_ms,phase2_build_median_ms,phase2_prep_mean_ms,phase2_prep_median_ms,phase2_replay_mean_ms,phase2_replay_median_ms,tree_prep_mean_ms,tree_prep_median_ms,tree_replay_mean_ms,tree_replay_median_ms,merge_cache_mean_ms,merge_cache_median_ms,hit_cache_respond_mean_ms,hit_cache_respond_median_ms,draft_send_response_mean_ms,draft_send_response_median_ms
hit_k1,30631,1.2807753322574449,1.0594240427017212,3.124566258367932,3.127295970916748,2.1860312497844263,2.1872639656066895,0.1509907748858479,0.14950400590896606,0.9716384036047565,0.9738239943981171,5.150020093861182,5.204992055892944,0.4014102401279006,0.32051199674606323,0.7806617355728853,0.7823359966278076,0.9442687479542637,0.9461760148406029,5.127260504092406,5.214207887649536,0.0,0.0,0.0,0.0,0.046302489905703965,0.04608000069856644,0.8325315694618107,0.8355839848518372,0.23745922889097218,0.23552000522613525
hit_k2,5757,1.0531200490974761,1.1176639795303345,3.1170376788747793,3.123199939727783,2.1792761797869353,2.185215950012207,0.15098477209455047,0.14950400590896606,0.9698731437356538,0.9717760235071182,5.0641396046927225,5.165055990219116,0.6885369243077637,0.4177919924259186,0.7796524073672995,0.7813119888305664,0.9425161976910142,0.9451519697904587,5.0582031694286,5.2060160636901855,0.0,0.0,0.0,0.0,0.04622280266636131,0.04608000069856644,0.8321508952928165,0.8355839848518372,0.23728191225411102,0.23552000522613525
miss,6159,1.0334914692864003,1.0981119871139526,3.128060133431248,3.122175931930542,2.1760794582218295,2.184191942214966,0.15372719031046844,0.14950400590896606,0.9729358370882057,0.9748480319976807,5.041501969171627,5.0831358432769775,0.5010224675724441,0.44646400213241577,0.7857012369160838,0.7813439965248108,0.9414985949237986,0.9441279992461205,5.03549665180695,5.147647857666016,0.0,0.0,0.0,0.0,0.04617849442297945,0.04608000069856644,4.903821876672669,4.907008171081543,0.24030581092482206,0.23552000522613525
