proc,label,mean,median,p95,n
draft,glue,4.713,4.71,4.751,1772
draft,merge_cache,0.066,0.066,0.068,1772
draft,phase1_replay,4.177,4.175,4.236,7103
draft,phase2_replay,4.205,4.211,4.252,7103
draft,proxy_wait,0.003,0.003,0.003,1772
target,graph_post,5.986,5.985,6.006,1772
target,graph_pre,13.144,13.142,13.19,1772
target,proxy_compute_send,1.864,1.744,2.101,1772
