arm,source,question_mean_fresh_al,ci95_low,ci95_high,question_mean_first_nll,nll_ci95_low,nll_ci95_high,question_mean_first_rank,rank_ci95_low,rank_ci95_high,events
chain,P1,4.34336158539301,4.061920148307018,4.643981211579961,1.1144076679239046,1.015367804337349,1.2115723928178257,6.969756124372915,5.400028287540417,8.786044767626418,7086
chain,P2,3.5136723880627745,3.242522738395414,3.808113415279186,1.3609592668204313,1.240926935280486,1.4869907777108586,6.911640000689756,5.408119484032029,8.652697625102665,2146
chain,Miss (fresh JIT),2.8143911956993284,2.5929506859310227,3.0560914818499127,2.023218257001677,1.8487989848503696,2.2101132674181234,22.48748440616922,13.261048942299892,33.55406935849121,1833
tree,P1,4.353658162296128,4.017159283519611,4.698915379001845,1.083323959673405,0.974339154503064,1.1972784123237512,7.417800955999213,5.888686756878733,9.125233424665886,6356
tree,P2,3.4397785445948,3.165237334192225,3.7391822717919743,1.3475499411695633,1.2279662479317102,1.4735294708132476,11.489223926259804,5.908975440714316,18.81543484055441,1889
tree,Miss (fresh JIT),2.803184110874103,2.5788324276439085,3.050362449684112,1.9170357691684996,1.747862287334496,2.094118457574152,13.193163778348822,9.590164576847512,17.321718664943326,2045
