arm,source,events,questions,event_pooled_al,question_mean_al,ci95_low,ci95_high,p_al_eq_1,p_al_ge_3,p_al_ge_5,mean_valid_k
chain,Miss (fresh JIT),1855,120,3.3024258760107816,3.3813496289829676,3.120200997130279,3.6534225847501847,0.33045822102425876,0.4803234501347709,0.2501347708894879,8.0
chain,P1,7190,116,4.766063977746871,4.80643197320521,4.569247371362723,5.065380199145868,0.21627260083449235,0.63894297635605,0.452990264255911,8.0
chain,P2,2160,110,3.611574074074074,4.030671110544907,3.758789442075444,4.319620700849724,0.29259259259259257,0.513425925925926,0.2972222222222222,8.0
tree,Miss (fresh JIT),2065,120,3.3249394673123485,3.166744363588261,2.910403876324521,3.4418261874550735,0.3612590799031477,0.462953995157385,0.26440677966101694,8.0
tree,P1,6458,110,5.280272530195107,5.086971189308712,4.805339484163559,5.375880853737428,0.11458655930628678,0.7331991328584702,0.5297305667389285,12.0
tree,P2,1907,107,3.7194546407970637,3.9708654530578524,3.709161257354551,4.243320013555737,0.18563188253801782,0.6313581541688515,0.26848453067645517,11.094389092815941
