source,contrast,questions,mean_difference,ci95_low,ci95_high,fraction_questions_above_zero
Miss (fresh JIT),tree - chain,120,-0.21460526539470662,-0.5503265944650815,0.1350082282152535,0.44166666666666665
P1,tree - chain,108,0.3409901557015582,-0.02465922843291222,0.700024673786629,0.5833333333333334
P2,tree - chain,100,0.1404372164573919,-0.19664445849780038,0.47525897664485883,0.55
