contrast,questions,mean_difference,ci95_low,ci95_high,fraction_questions_below_zero,arm
P2 - P1,110,-0.7220286254620913,-0.9580265578045389,-0.48358313333692227,0.7363636363636363,chain
Miss (fresh JIT) - P1,116,-1.3429668397745531,-1.672607291255338,-1.030444875941192,0.8275862068965517,chain
P2 - Miss (fresh JIT),110,0.6328351516543967,0.33200998288078126,0.9552779601768447,0.32727272727272727,chain
P2 - P1,107,-1.0511166012680817,-1.2975268883746993,-0.8119825268000125,0.8130841121495327,tree
Miss (fresh JIT) - P1,110,-1.7232500653942453,-2.0907219941570836,-1.3751961834017095,0.9090909090909091,tree
P2 - Miss (fresh JIT),107,0.578254951837373,0.3128759626646966,0.8635218685317626,0.3364485981308411,tree
