arm,metric,contrast,questions,mean_difference,ci95_low,ci95_high,fraction_questions_below_zero
chain,fresh_greedy_al,P2 - P1,109,-0.7293623229884797,-0.9733148728839264,-0.4881097292572768,0.6972477064220184
chain,fresh_greedy_al,Miss (fresh JIT) - P1,116,-1.5289703896936822,-1.89757425294944,-1.1752603176562801,0.8362068965517241
chain,fresh_greedy_al,P2 - Miss (fresh JIT),109,0.6662468953919294,0.3474131851061214,1.0110398991182497,0.3486238532110092
chain,fresh_first_token_nll,P2 - P1,109,0.22192921711143054,0.09249058369300545,0.3539243664883429,0.3853211009174312
chain,fresh_first_token_nll,Miss (fresh JIT) - P1,116,0.908810589077772,0.7058934948591574,1.1166656313144354,0.14655172413793102
chain,fresh_first_token_nll,P2 - Miss (fresh JIT),109,-0.612857015817092,-0.8455083737945239,-0.4070748463428103,0.7339449541284404
chain,fresh_first_token_rank,P2 - P1,109,-0.3523403046717201,-2.6508285716837983,1.8546001598424742,0.5229357798165137
chain,fresh_first_token_rank,Miss (fresh JIT) - P1,116,15.517728281796302,6.77021326298404,25.884993667296676,0.35344827586206895
chain,fresh_first_token_rank,P2 - Miss (fresh JIT),109,-13.890942792419992,-24.82997224532595,-4.777974662041403,0.6513761467889908
tree,fresh_greedy_al,P2 - P1,104,-0.8440770727985384,-1.1523811758902895,-0.5360175474746245,0.7307692307692307
tree,fresh_greedy_al,Miss (fresh JIT) - P1,108,-1.541773111097196,-1.905809464779361,-1.2015654393842945,0.8148148148148148
tree,fresh_greedy_al,P2 - Miss (fresh JIT),106,0.6581723918009194,0.41256947810031724,0.9150827828487939,0.330188679245283
tree,fresh_first_token_nll,P2 - P1,104,0.2386479834250569,0.10003339826924562,0.3768990280499114,0.34615384615384615
tree,fresh_first_token_nll,Miss (fresh JIT) - P1,108,0.7968101366436434,0.6254057026700736,0.9833722242742929,0.18518518518518517
tree,fresh_first_token_nll,P2 - Miss (fresh JIT),106,-0.5873489914100378,-0.7795163091017525,-0.3969968883400345,0.7452830188679245
tree,fresh_first_token_rank,P2 - P1,104,4.000681395380118,-1.681585730155687,11.625976202288047,0.5961538461538461
tree,fresh_first_token_rank,Miss (fresh JIT) - P1,108,5.735730052812857,2.011141313882606,10.077016847080822,0.37962962962962965
tree,fresh_first_token_rank,P2 - Miss (fresh JIT),106,-2.1302542085046947,-8.69298161579224,5.889798688182435,0.6792452830188679
