arm,source,seed,events,questions,event_pooled_al,question_mean_al
chain,Miss (fresh JIT),42,1855,120,3.3024258760107816,3.3813496289829676
chain,P1,42,7190,116,4.766063977746871,4.80643197320521
chain,P2,42,2160,110,3.611574074074074,4.030671110544907
tree,Miss (fresh JIT),42,2065,120,3.3249394673123485,3.166744363588261
tree,P1,42,6458,110,5.280272530195107,5.086971189308712
tree,P2,42,1907,107,3.7194546407970637,3.9708654530578524
