proc,label,mean,median,p95,n
draft,glue,4.941,4.942,4.987,1772
draft,merge_cache,0.065,0.065,0.067,1772
draft,phase1_replay,4.17,4.168,4.229,7103
draft,phase2_replay,4.199,4.206,4.244,7103
draft,proxy_wait,0.003,0.003,0.003,1772
target,graph_post,5.983,5.982,6.002,1772
target,graph_pre,13.137,13.137,13.18,1772
target,proxy_compute_send,1.794,1.703,1.976,1772
