proc,label,mean,median,p95,n
draft,draft_glue_replay,1.603,1.609,1.619,14150
draft,draft_recv_cmd,2.992,2.839,4.683,14152
draft,draft_send_response,0.159,0.176,0.193,14150
draft,glue,2.47,2.473,2.505,14150
draft,hit_cache_respond,2.116,0.62,9.567,14150
draft,merge_cache,0.043,0.042,0.044,14150
draft,phase1_build,0.15,0.151,0.164,14150
draft,phase1_prep,0.406,0.133,1.504,70770
draft,phase1_replay,2.303,2.338,2.526,70770
draft,phase2_build,1.46,1.424,1.653,14150
draft,phase2_prep,0.409,0.121,1.631,70770
draft,phase2_replay,2.41,2.482,2.562,70770
draft,proxy_wait,10.623,10.522,12.412,14150
target,exit_logits,1.144,1.063,1.358,14150
target,final_logits,0.341,0.339,0.35,14150
target,graph_post,13.957,13.935,14.043,14150
target,graph_pre,22.927,22.827,23.632,14150
target,proxy_compute_send,2.271,2.326,3.086,14150
target,target_postprocess,0.064,0.046,0.167,14150
target,target_spec_wait,3.391,1.822,10.573,14150
target,verify_sample_accept,3.92,3.867,4.714,14150
target,verify_setup,0.331,0.343,0.421,14150
