arm,source,events,questions,event_pooled_al,question_mean_al,ci95_low,ci95_high,p_al_eq_1,p_al_ge_3,p_al_ge_5,mean_valid_k
chain,Miss (fresh JIT),1894,120,3.3109820485744454,3.4497110707819094,3.1993486814439516,3.7089156365782237,0.32840549102428723,0.4836325237592397,0.25131995776135163,8.0
chain,P1,7166,116,4.6963438459391575,4.740480707839543,4.517916553738576,4.980171314570227,0.2192296957856545,0.6329891152665365,0.4440413061680156,8.0
chain,P2,2186,110,3.610704483074108,3.9540044438782402,3.700929616009169,4.221536862714687,0.29048490393412624,0.5137236962488564,0.29643183897529735,8.0
