proc,label,mean,median,p95,n
draft,draft_glue_replay,1.59,1.599,1.611,7685
draft,draft_recv_cmd,4.513,4.295,6.015,7687
draft,draft_send_response,0.159,0.181,0.201,7685
draft,glue,2.476,2.48,2.515,7685
draft,hit_cache_respond,2.384,0.618,9.503,7685
draft,merge_cache,0.043,0.042,0.046,7685
draft,phase1_build,0.15,0.152,0.163,7685
draft,phase1_prep,0.396,0.126,1.461,38445
draft,phase1_replay,2.179,2.163,2.438,38445
draft,phase2_build,1.404,1.351,1.586,7685
draft,phase2_prep,0.374,0.11,1.444,38445
draft,phase2_replay,2.295,2.29,2.546,38445
draft,proxy_wait,10.895,10.938,12.449,7685
target,exit_logits,1.161,1.174,1.351,7685
target,final_logits,0.342,0.342,0.351,7685
target,graph_post,14.315,14.318,14.382,7685
target,graph_pre,22.241,22.199,22.687,7685
target,proxy_compute_send,2.493,2.64,3.111,7685
target,target_postprocess,0.046,0.042,0.062,7685
target,target_spec_wait,3.681,1.853,10.53,7685
target,verify_sample_accept,4.147,4.132,4.914,7685
target,verify_setup,0.337,0.344,0.419,7685
