arm,source,seed,events,questions,event_pooled_al,question_mean_al
chain,Miss (fresh JIT),42,648,30,3.1496913580246915,3.651906823049309
chain,P1,42,1993,30,4.610637230306072,4.890809542477092
chain,P2,42,652,30,3.5383435582822087,4.314362963527079
tree,Miss (fresh JIT),42,588,30,3.2891156462585034,3.7054556364911457
tree,P1,42,1747,29,5.215798511734402,5.4513957470155665
tree,P2,42,570,27,3.763157894736842,4.0601049477618325
