proc,label,mean,median,p95,n
draft,draft_glue_replay,1.61,1.615,1.628,13133
draft,draft_recv_cmd,0.228,0.049,0.055,13135
draft,draft_send_response,0.167,0.18,0.199,13133
draft,glue,2.488,2.49,2.53,13133
draft,hit_cache_respond,2.134,0.642,11.353,13133
draft,merge_cache,0.058,0.057,0.059,13133
draft,phase1_build,0.157,0.157,0.175,13133
draft,phase1_prep,0.382,0.129,1.615,78823
draft,phase1_replay,2.332,2.357,2.536,78823
draft,phase2_build,1.448,1.437,1.68,13133
draft,phase2_prep,0.359,0.109,1.618,78823
draft,phase2_replay,3.53,3.616,3.641,78823
draft,proxy_wait,10.681,10.474,12.56,13133
target,exit_logits,1.485,1.42,1.588,13133
target,final_logits,0.345,0.345,0.355,13133
target,graph_post,11.909,11.916,11.967,13133
target,graph_pre,26.953,26.908,27.404,13133
target,proxy_compute_send,1.15,0.973,1.981,13133
target,target_postprocess,0.049,0.033,0.122,13133
target,target_spec_wait,13.203,11.955,22.522,13133
target,verify_sample_accept,2.895,2.783,3.454,13133
target,verify_setup,0.239,0.237,0.256,13133
