proc,label,mean,median,p95,n
draft,draft_glue_replay,1.604,1.61,1.618,14129
draft,draft_recv_cmd,2.143,1.924,3.314,14131
draft,draft_send_response,0.164,0.184,0.201,14129
draft,glue,2.497,2.497,2.53,14129
draft,hit_cache_respond,2.246,0.65,9.587,14129
draft,merge_cache,0.038,0.038,0.04,14129
draft,phase1_build,0.144,0.144,0.158,14129
draft,phase1_prep,0.402,0.128,1.485,70665
draft,phase1_replay,2.3,2.335,2.517,70665
draft,phase2_build,1.413,1.393,1.626,14129
draft,phase2_prep,0.382,0.112,1.475,70665
draft,phase2_replay,1.935,1.962,2.023,70665
draft,proxy_wait,12.137,12.013,13.977,14129
target,exit_logits,1.483,1.418,1.597,14129
target,final_logits,0.349,0.342,0.351,14129
target,graph_post,11.359,11.365,11.415,14129
target,graph_pre,25.02,25.006,25.462,14129
target,proxy_compute_send,1.476,1.298,2.703,14129
target,target_postprocess,0.051,0.036,0.131,14129
target,target_spec_wait,3.456,1.773,10.507,14129
target,verify_sample_accept,3.262,3.17,4.072,14129
target,verify_setup,0.293,0.276,0.401,14129
