seed,questions,turns,verify_steps,completion_tokens,tps,accept_len,cache_hit_rate,p1_hit_rate,p1_accept_len,p2_hit_rate,p2_accept_len,target_step_ms,target_verify_ms,outside_verify_ms
1,480,560,70798,324959,64.54094288968233,4.449114589865088,0.776444716618961,0.6097539328071059,4.348211064547235,0.16669078381185504,2.200644393472835,69.85249828394049,63.233797738621845,6.618700545318646
42,480,560,74712,336536,65.13591876535357,4.490313719032179,0.7903767344725925,0.61642278570739,4.36724700195139,0.1739539487652025,2.2035219334057863,69.8031527175612,63.25061075923787,6.5525419583233315
123,480,560,72048,338307,66.58219259874332,4.5472283462442435,0.7870529724828371,0.6211372508683249,4.411737744771142,0.1659157216145122,2.22504117513064,69.28737009853548,62.95774649817084,6.329623600364634
