proc,label,mean,median,p95,n
draft,draft_glue_replay,1.61,1.615,1.627,13230
draft,draft_recv_cmd,0.805,0.522,1.851,13232
draft,draft_send_response,0.164,0.182,0.202,13230
draft,glue,2.493,2.491,2.536,13230
draft,hit_cache_respond,2.488,0.642,11.349,13230
draft,merge_cache,0.044,0.044,0.046,13230
draft,phase1_build,0.154,0.156,0.167,13230
draft,phase1_prep,0.382,0.13,1.647,79405
draft,phase1_replay,2.325,2.351,2.532,79405
draft,phase2_build,1.41,1.389,1.609,13230
draft,phase2_prep,0.365,0.112,1.639,79405
draft,phase2_replay,1.94,1.967,2.025,79405
draft,proxy_wait,11.082,10.969,13.228,13230
target,exit_logits,1.483,1.419,1.656,13230
target,final_logits,0.346,0.346,0.354,13230
target,graph_post,11.907,11.908,11.967,13230
target,graph_pre,26.26,26.25,26.747,13230
target,proxy_compute_send,2.006,2.052,3.046,13230
target,target_postprocess,0.054,0.039,0.145,13230
target,target_spec_wait,3.895,1.863,12.404,13230
target,verify_sample_accept,3.471,3.623,4.099,13230
target,verify_setup,0.311,0.287,0.411,13230
