proc,label,mean_ms,mult_per_step,ms_per_step
draft,hit_cache_respond,35.91536598205566,1,35.91536598205566
draft,phase1_replay,5.67233195622762,4,22.68932782491048
draft,phase2_replay,5.171814390818278,4,20.68725756327311
draft,glue,7.620403099060058,1,7.620403099060058
draft,phase2_build,5.390131330490112,1,5.390131330490112
draft,draft_glue_replay,4.868095922470093,1,4.868095922470093
draft,phase1_prep,1.2078557882706324,1,1.2078557882706324
draft,phase2_prep,1.043810983200868,1,1.043810983200868
draft,draft_send_response,0.9566208124160767,1,0.9566208124160767
draft,phase1_build,0.40448000133037565,1,0.40448000133037565
draft,merge_cache,0.2443263977766037,1,0.2443263977766037
draft,draft_recv_cmd,0.07558400024260793,1,0.07558400024260793
draft,proxy_wait,0.007372800074517727,1,0.007372800074517727
target,target_spec_wait,121.50227203369141,1,121.50227203369141
target,graph_pre,27.17900848388672,1,27.17900848388672
target,graph_post,10.319257640838623,1,10.319257640838623
target,exit_logits,1.4059520006179809,1,1.4059520006179809
target,verify_sample_accept,1.3769343733787536,1,1.3769343733787536
target,final_logits,1.1192319989204407,1,1.1192319989204407
target,proxy_compute_send,0.8724479854106904,1,0.8724479854106904
target,verify_setup,0.36597760319709777,1,0.36597760319709777
target,target_postprocess,0.10359039977192878,1,0.10359039977192878
