proc,label,mean,median,p95,n
draft,draft_glue_replay,1.611,1.616,1.625,13232
draft,draft_recv_cmd,5.303,5.138,6.853,13234
draft,draft_send_response,0.154,0.174,0.188,13232
draft,glue,2.078,2.062,2.084,13232
draft,hit_cache_respond,2.683,0.62,11.339,13232
draft,tree_prep,0.362,0.113,1.621,79417
draft,tree_replay,5.346,5.394,5.411,79417
target,target_postprocess,0.056,0.042,0.132,13232
target,target_spec_wait,3.83,1.779,12.29,13232
target,verify_replay,37.925,37.903,38.409,13232
target,verify_sample_accept,3.72,3.703,5.063,13232
