proc,label,mean,median,p95,n
draft,draft_glue_replay,3.512,3.515,3.531,13954
draft,draft_recv_cmd,0.249,0.047,0.052,13956
draft,draft_send_response,0.152,0.171,0.188,13954
draft,glue,4.379,4.38,4.414,13954
draft,hit_cache_respond,4.122,0.597,18.383,13954
draft,merge_cache,0.042,0.042,0.044,13954
draft,phase1_build,0.155,0.157,0.164,13954
draft,phase1_prep,0.379,0.124,1.379,69790
draft,phase1_replay,4.132,4.17,4.338,69790
draft,phase2_build,1.344,1.317,1.523,13954
draft,phase2_prep,0.364,0.108,1.419,69790
draft,phase2_replay,4.185,4.257,4.341,69790
draft,proxy_wait,0.063,0.002,0.004,13954
target,exit_logits,1.169,1.092,1.321,13954
target,final_logits,0.336,0.331,0.334,13954
target,graph_post,16.909,16.919,16.974,13954
target,graph_pre,19.692,19.697,20.152,13954
target,proxy_compute_send,2.148,1.995,3.086,13954
target,target_postprocess,0.063,0.045,0.153,13954
target,target_spec_wait,11.567,8.929,27.251,13954
target,verify_sample_accept,4.158,4.07,5.297,13954
target,verify_setup,0.297,0.284,0.412,13954
