subset,group,question_id,turns,reason,uids,prompt_tokens_max,verify_steps,accept_len,hit,p1_hit,p2_hit,p1_al,p2_al,accept_len_delta,p2_hit_delta
postfull_forensic,mt_bench,101,2,p2_heavy,"101_t0,101_t1",44.0,332.0,3.4518072289156625,0.8373493975903614,0.5481927710843374,0.2891566265060241,3.6483516483516483,3.4166666666666665,-0.13191370131689562,0.007761277668814792
postfull_forensic,mt_bench,108,2,smallest_al_gain,"108_t0,108_t1",22.0,306.0,2.787581699346405,0.6830065359477124,0.46405228758169936,0.21895424836601307,2.8098591549295775,3.044776119402985,-2.25902847014512,0.024038994128724928
postfull_forensic,mt_bench,121,2,high_p2_al,"121_t0,121_t1",28.0,233.0,5.184549356223176,0.6437768240343348,0.4334763948497854,0.21030042918454936,5.02970297029703,5.530612244897959,0.7905450735679294,0.02614625359568426
postfull_forensic,mt_bench,138,2,low_p2_al,"138_t0,138_t1",397.0,246.0,3.024390243902439,0.5813008130081301,0.4349593495934959,0.14634146341463414,3.383177570093458,2.5,-1.9802180510284364,-0.03338203888951333
postfull_forensic,mt_bench,140,2,long_prompt,"140_t0,140_t1",346.0,214.0,5.257009345794392,0.8317757009345794,0.616822429906542,0.21495327102803738,6.03030303030303,4.282608695652175,0.06570499796830553,-0.0198293376676148
postfull_forensic,mt_bench,91,2,largest_al_gain,"91_t0,91_t1",39.0,131.0,8.122137404580153,0.9541984732824428,0.9236641221374046,0.030534351145038167,8.578512396694217,3.75,2.583955586398335,-0.13310201249132547
postfull_forensic,mt_bench,92,2,largest_p2_hit_drop,"92_t0,92_t1",59.0,269.0,5.408921933085502,0.8215613382899628,0.6877323420074349,0.13382899628252787,5.870270270270271,4.166666666666667,2.1850413360705763,-0.21691727237418856
postfull_forensic,mt_bench,97,2,many_verify_steps,"97_t0,97_t1",80.0,502.0,4.087649402390438,0.8306772908366534,0.6394422310756972,0.19123505976095617,4.654205607476635,3.1770833333333335,-0.7540172642762286,-0.011542718016821607
postfull_forensic,translation,162,1,high_p2_al,162_t0,48.0,23.0,2.6956521739130435,0.43478260869565216,0.391304347826087,0.043478260869565216,3.6666666666666665,6.0,-3.6685453569511544,-0.012077294685990336
postfull_forensic,translation,165,1,p2_heavy,165_t0,24.0,5.0,5.4,0.8,0.4,0.4,6.0,6.0,2.2132911392405066,0.20063291139240508
postfull_forensic,translation,183,1,largest_al_gain,183_t0,50.0,120.0,8.558333333333334,0.9666666666666667,0.95,0.016666666666666666,8.771929824561404,4.0,5.3655622489959836,-0.12791164658634538
postfull_forensic,translation,199,1,smallest_al_gain,199_t0,28.0,53.0,3.6226415094339623,0.660377358490566,0.5660377358490566,0.09433962264150944,3.7666666666666666,3.6,-4.1728130360205835,0.05646083476272156
postfull_forensic,translation,221,1,low_p2_al,221_t0,61.0,26.0,2.8076923076923075,0.6153846153846154,0.38461538461538464,0.23076923076923078,3.4,2.166666666666667,-1.8210955710955714,0.04895104895104896
postfull_forensic,translation,224,1,many_verify_steps,224_t0,41.0,386.0,2.6528497409326426,0.6450777202072538,0.4844559585492228,0.16062176165803108,2.9946524064171123,2.645161290322581,-3.037757993873987,0.016975352818252076
postfull_forensic,translation,238,1,long_prompt,238_t0,81.0,56.0,5.875,0.8214285714285714,0.6785714285714286,0.14285714285714285,6.7105263157894735,3.5,2.4695945945945947,0.02123552123552122
postfull_forensic,translation,240,1,largest_p2_hit_drop,240_t0,66.0,78.0,4.5256410256410255,0.6923076923076923,0.5641025641025641,0.1282051282051282,6.045454545454546,3.2,1.3256410256410254,-0.20512820512820512
