proc,label,mean_ms,mult_per_step,ms_per_step
draft,tree_replay,4.637254728910871,4,18.549018915643483
draft,hit_cache_respond,8.976126434083495,1,8.976126434083495
draft,draft_recv_cmd,6.845901303043992,1,6.845901303043992
draft,glue,3.957825712437015,1,3.957825712437015
draft,draft_glue_replay,3.5134722547821484,1,3.5134722547821484
draft,tree_prep,0.34062715873453864,1,0.34062715873453864
draft,draft_send_response,0.1414993188937641,1,0.1414993188937641
target,verify_replay,43.78409604866437,1,43.78409604866437
target,target_spec_wait,9.947629716776909,1,9.947629716776909
target,verify_sample_accept,2.0933626788614044,1,2.0933626788614044
target,target_postprocess,0.033540821020751455,1,0.033540821020751455
