proc,label,mean,median,p95,n
draft,draft_glue_replay,1.606,1.611,1.622,14400
draft,draft_recv_cmd,0.221,0.05,0.055,14402
draft,draft_send_response,0.184,0.203,0.219,14400
draft,glue,2.679,2.678,2.72,14400
draft,hit_cache_respond,2.042,0.744,9.674,14400
draft,merge_cache,0.043,0.042,0.044,14400
draft,phase1_build,0.157,0.158,0.164,14400
draft,phase1_prep,0.475,0.144,1.808,72020
draft,phase1_replay,2.312,2.348,2.545,72020
draft,phase2_build,1.733,1.7,1.946,14400
draft,phase2_prep,0.455,0.129,1.786,72020
draft,phase2_replay,2.415,2.486,2.566,72020
draft,proxy_wait,0.248,0.002,1.335,14400
target,exit_logits,1.269,1.218,1.305,14400
target,final_logits,0.311,0.311,0.316,14400
target,graph_post,7.73,7.735,7.772,14400
target,graph_pre,13.099,13.175,13.336,14400
target,proxy_compute_send,1.443,0.956,2.575,14400
target,target_postprocess,0.056,0.041,0.148,14400
target,target_spec_wait,8.754,7.886,16.985,14400
target,verify_sample_accept,3.613,3.554,5.143,14400
target,verify_setup,0.282,0.257,0.4,14400
