proc,label,mean_ms,mult_per_step,ms_per_step
draft,phase2_replay,2.414584051268328,4,9.658336205073311
draft,phase1_replay,2.3124573229518544,4,9.249829291807417
draft,glue,2.6792631560067335,1,2.6792631560067335
draft,hit_cache_respond,2.0420071488122145,1,2.0420071488122145
draft,phase2_build,1.732659507493178,1,1.732659507493178
draft,draft_glue_replay,1.6063715541528332,1,1.6063715541528332
draft,phase1_prep,0.4745906720661564,1,0.4745906720661564
draft,phase2_prep,0.45471540985257053,1,0.45471540985257053
draft,proxy_wait,0.24823246257563975,1,0.24823246257563975
draft,draft_recv_cmd,0.22145973944097835,1,0.22145973944097835
draft,draft_send_response,0.18401095865164988,1,0.18401095865164988
draft,phase1_build,0.1566325328612907,1,0.1566325328612907
draft,merge_cache,0.04250183503686761,1,0.04250183503686761
target,graph_pre,13.099094354841444,1,13.099094354841444
target,target_spec_wait,8.754428846819533,1,8.754428846819533
target,graph_post,7.730304033193323,1,7.730304033193323
target,verify_sample_accept,3.6133601256873873,1,3.6133601256873873
target,proxy_compute_send,1.443095500504391,1,1.443095500504391
target,exit_logits,1.2691267563899358,1,1.2691267563899358
target,final_logits,0.3114243541285396,1,0.3114243541285396
target,verify_setup,0.2816479687703152,1,0.2816479687703152
target,target_postprocess,0.05623756222323411,1,0.05623756222323411
