arm,source,question_mean_fresh_al,ci95_low,ci95_high,events
audit_tree,P1,2.332516339869281,2.2058823529411766,2.5416666666666665,94
audit_tree,P2,2.164332399626517,1.6190476190476193,2.588235294117647,66
audit_tree,Miss (fresh JIT),2.2337962962962963,2.1666666666666665,2.3125,58
