arm,uid,question_key,group,event_index,source_id,source,cached_accepted_len,fresh_greedy_al,fresh_first_token_nll,fresh_first_token_rank,completion_offset
audit_tree,82_t1,mt_bench:82,mt_bench,16,0,Miss (fresh JIT),2,2,0.36702418327331543,1,45
audit_tree,82_t1,mt_bench:82,mt_bench,17,1,P1,3,1,3.2914962768554688,8,47
audit_tree,82_t1,mt_bench:82,mt_bench,18,1,P1,2,2,0.485074907541275,1,50
audit_tree,82_t1,mt_bench:82,mt_bench,19,2,P2,2,2,0.5430235266685486,1,52
audit_tree,82_t1,mt_bench:82,mt_bench,20,0,Miss (fresh JIT),1,1,3.085767984390259,5,54
audit_tree,82_t1,mt_bench:82,mt_bench,21,2,P2,5,6,0.0024754139594733715,1,55
audit_tree,82_t1,mt_bench:82,mt_bench,22,1,P1,3,1,2.84234881401062,6,60
audit_tree,82_t1,mt_bench:82,mt_bench,23,2,P2,7,2,0.4924038350582123,1,63
audit_tree,82_t1,mt_bench:82,mt_bench,24,1,P1,1,1,3.953483819961548,6,70
audit_tree,82_t1,mt_bench:82,mt_bench,25,0,Miss (fresh JIT),4,4,0.08576960116624832,1,71
audit_tree,82_t1,mt_bench:82,mt_bench,26,2,P2,1,1,5.058891296386719,10,75
audit_tree,82_t1,mt_bench:82,mt_bench,27,2,P2,6,5,0.8943372964859009,1,76
audit_tree,82_t1,mt_bench:82,mt_bench,28,2,P2,2,1,7.048937797546387,47,82
audit_tree,82_t1,mt_bench:82,mt_bench,29,2,P2,3,1,2.348198890686035,2,84
audit_tree,82_t1,mt_bench:82,mt_bench,30,0,Miss (fresh JIT),4,4,0.0019126709084957838,1,87
audit_tree,82_t1,mt_bench:82,mt_bench,31,1,P1,3,2,0.40453818440437317,1,91
audit_tree,82_t1,mt_bench:82,mt_bench,32,2,P2,4,4,0.4800282120704651,1,94
audit_tree,82_t1,mt_bench:82,mt_bench,33,1,P1,2,1,2.415832996368408,3,98
audit_tree,82_t1,mt_bench:82,mt_bench,34,2,P2,2,1,2.7996063232421875,7,100
audit_tree,82_t1,mt_bench:82,mt_bench,35,1,P1,1,1,3.550957202911377,8,102
audit_tree,82_t1,mt_bench:82,mt_bench,36,2,P2,1,1,1.868290901184082,2,103
audit_tree,82_t1,mt_bench:82,mt_bench,37,1,P1,1,1,5.2502031326293945,19,104
audit_tree,82_t1,mt_bench:82,mt_bench,38,2,P2,8,7,0.004518062341958284,1,105
audit_tree,82_t1,mt_bench:82,mt_bench,39,2,P2,3,3,0.7372602820396423,1,113
audit_tree,82_t1,mt_bench:82,mt_bench,40,1,P1,3,3,0.10070469230413437,1,116
audit_tree,82_t1,mt_bench:82,mt_bench,41,1,P1,5,5,0.12669146060943604,1,119
audit_tree,82_t1,mt_bench:82,mt_bench,42,2,P2,4,3,0.8482378721237183,1,124
audit_tree,85_t0,mt_bench:85,mt_bench,0,0,Miss (fresh JIT),1,1,5.118368625640869,14,1
audit_tree,85_t0,mt_bench:85,mt_bench,1,2,P2,1,1,8.352350234985352,439,2
audit_tree,85_t0,mt_bench:85,mt_bench,2,0,Miss (fresh JIT),3,1,2.997825860977173,2,3
audit_tree,85_t0,mt_bench:85,mt_bench,3,0,Miss (fresh JIT),2,2,0.43762972950935364,1,6
audit_tree,85_t0,mt_bench:85,mt_bench,4,2,P2,1,1,6.615758419036865,46,8
audit_tree,85_t0,mt_bench:85,mt_bench,5,2,P2,1,1,3.1304054260253906,6,9
audit_tree,85_t0,mt_bench:85,mt_bench,6,0,Miss (fresh JIT),1,1,2.51823353767395,3,10
audit_tree,85_t0,mt_bench:85,mt_bench,7,1,P1,5,1,1.9479056596755981,2,11
audit_tree,85_t0,mt_bench:85,mt_bench,8,0,Miss (fresh JIT),9,2,1.392222285270691,1,16
audit_tree,85_t0,mt_bench:85,mt_bench,9,0,Miss (fresh JIT),2,2,0.02058464288711548,1,25
audit_tree,85_t0,mt_bench:85,mt_bench,10,0,Miss (fresh JIT),2,2,0.05539831519126892,1,27
audit_tree,85_t0,mt_bench:85,mt_bench,11,2,P2,3,1,2.0257039070129395,3,29
audit_tree,85_t0,mt_bench:85,mt_bench,12,2,P2,1,1,5.552253723144531,51,32
audit_tree,85_t0,mt_bench:85,mt_bench,13,2,P2,1,1,3.2335262298583984,4,33
audit_tree,85_t0,mt_bench:85,mt_bench,14,1,P1,4,1,1.5771831274032593,2,34
audit_tree,85_t0,mt_bench:85,mt_bench,15,0,Miss (fresh JIT),4,2,8.702239938429557e-06,1,38
audit_tree,85_t0,mt_bench:85,mt_bench,16,1,P1,2,3,0.6180625557899475,1,42
audit_tree,85_t0,mt_bench:85,mt_bench,17,1,P1,2,1,3.391718864440918,3,44
audit_tree,85_t0,mt_bench:85,mt_bench,18,2,P2,2,2,0.07447656989097595,1,46
audit_tree,85_t0,mt_bench:85,mt_bench,19,2,P2,3,2,0.4241836369037628,1,48
audit_tree,85_t0,mt_bench:85,mt_bench,20,1,P1,1,1,6.073361396789551,14,51
audit_tree,85_t0,mt_bench:85,mt_bench,21,0,Miss (fresh JIT),5,1,2.354416847229004,4,52
audit_tree,85_t0,mt_bench:85,mt_bench,22,2,P2,2,2,0.12531521916389465,1,57
audit_tree,85_t0,mt_bench:85,mt_bench,23,0,Miss (fresh JIT),7,3,0.494161456823349,1,59
audit_tree,85_t0,mt_bench:85,mt_bench,24,0,Miss (fresh JIT),5,3,0.0006705658161081374,1,66
audit_tree,85_t0,mt_bench:85,mt_bench,25,1,P1,2,4,1.186886191368103,1,71
audit_tree,85_t0,mt_bench:85,mt_bench,26,1,P1,9,2,0.412172794342041,1,73
audit_tree,85_t0,mt_bench:85,mt_bench,27,1,P1,4,3,0.6199684143066406,1,82
audit_tree,85_t0,mt_bench:85,mt_bench,28,1,P1,2,1,2.917001724243164,4,86
audit_tree,85_t0,mt_bench:85,mt_bench,29,1,P1,1,1,3.740086078643799,8,88
audit_tree,85_t0,mt_bench:85,mt_bench,30,0,Miss (fresh JIT),3,3,0.14802373945713043,1,89
audit_tree,85_t0,mt_bench:85,mt_bench,31,0,Miss (fresh JIT),4,1,2.009349822998047,3,92
audit_tree,85_t0,mt_bench:85,mt_bench,32,0,Miss (fresh JIT),4,2,0.0004015354788862169,1,96
audit_tree,85_t0,mt_bench:85,mt_bench,33,1,P1,2,1,3.2913119792938232,3,100
audit_tree,85_t0,mt_bench:85,mt_bench,34,1,P1,1,1,4.468409061431885,4,102
audit_tree,85_t0,mt_bench:85,mt_bench,35,1,P1,5,4,1.2309682369232178,1,103
audit_tree,85_t0,mt_bench:85,mt_bench,36,1,P1,3,3,0.2110862284898758,1,108
audit_tree,85_t0,mt_bench:85,mt_bench,37,0,Miss (fresh JIT),1,1,4.772981643676758,16,111
