proc,label,mean,median,p95,n
draft,draft_glue_replay,1.593,1.602,1.613,7625
draft,draft_recv_cmd,0.281,0.048,0.057,7627
draft,draft_send_response,0.158,0.171,0.188,7625
draft,glue,2.458,2.462,2.497,7625
draft,hit_cache_respond,1.817,0.611,9.509,7625
draft,merge_cache,0.061,0.06,0.062,7625
draft,phase1_build,0.162,0.164,0.172,7625
draft,phase1_prep,0.389,0.128,1.431,38145
draft,phase1_replay,3.416,3.484,3.594,38145
draft,phase2_build,1.452,1.368,1.612,7625
draft,phase2_prep,0.369,0.109,1.424,38145
draft,phase2_replay,3.454,3.506,3.657,38145
draft,proxy_wait,4.07,3.982,5.705,7625
target,exit_logits,1.125,1.105,1.395,7625
target,final_logits,0.331,0.33,0.339,7625
target,graph_post,14.303,14.312,14.378,7625
target,graph_pre,22.717,22.685,23.328,7625
target,proxy_compute_send,1.634,1.467,2.947,7625
target,target_postprocess,0.04,0.037,0.058,7625
target,target_spec_wait,5.334,4.323,13.194,7625
target,verify_sample_accept,3.654,3.486,4.91,7625
target,verify_setup,0.302,0.288,0.407,7625
