method,questions,turns,tps,accept_len,cache_hit_rate,p1_hit_rate,p1_accept_len,p2_hit_rate,p2_accept_len,target_step_ms,target_verify_ms,outside_verify_ms
DUET-chain (matched),480,560,66.35272292941156,4.332047738781912,0.8118090961661867,0.6499255680876248,4.100824272510514,0.1618835280785618,1.9859666447995354,66.17809571268177,61.59771448891889,4.580381223762878
DUET-tree,480,560,65.13591876535357,4.490313719032179,0.7903767344725925,0.61642278570739,4.36724700195139,0.1739539487652025,2.2035219334057863,69.80315271756122,63.25061075923788,6.552541958323339
