proc,label,mean,median,p95,n
draft,draft_glue_replay,1.598,1.604,1.613,14249
draft,draft_recv_cmd,0.401,0.051,1.188,14251
draft,draft_send_response,0.164,0.18,0.2,14249
draft,glue,2.48,2.481,2.518,14249
draft,hit_cache_respond,2.012,0.639,9.54,14249
draft,merge_cache,0.042,0.042,0.044,14249
draft,phase1_build,0.15,0.151,0.162,14249
draft,phase1_prep,0.401,0.128,1.469,71265
draft,phase1_replay,2.293,2.327,2.514,71265
draft,phase2_build,1.457,1.394,1.654,14249
draft,phase2_prep,0.378,0.111,1.457,71265
draft,phase2_replay,2.397,2.467,2.548,71265
draft,proxy_wait,12.162,11.996,14.003,14249
target,exit_logits,1.449,1.416,1.59,14249
target,final_logits,0.339,0.339,0.348,14249
target,graph_post,11.367,11.367,11.418,14249
target,graph_pre,25.274,25.253,25.642,14249
target,proxy_compute_send,1.302,1.127,2.46,14249
target,target_postprocess,0.048,0.033,0.12,14249
target,target_spec_wait,4.024,2.822,11.626,14249
target,verify_sample_accept,3.017,2.905,3.773,14249
target,verify_setup,0.269,0.263,0.352,14249
