proc,label,mean,median,p95,n
draft,draft_glue_replay,1.606,1.612,1.62,14166
draft,draft_recv_cmd,9.897,9.755,11.328,14168
draft,draft_send_response,0.158,0.175,0.196,14166
draft,glue,2.066,2.051,2.073,14166
draft,hit_cache_respond,2.117,0.605,9.557,14166
draft,tree_prep,0.369,0.111,1.42,70850
draft,tree_replay,5.331,5.398,5.417,70850
target,target_postprocess,0.062,0.046,0.146,14166
target,target_spec_wait,3.355,1.826,10.56,14166
target,verify_replay,36.061,36.038,36.446,14166
target,verify_sample_accept,4.064,3.97,5.253,14166
